Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
williams1_0_c_p.txt,1,19691,36.18,84.15,15.88,29.07,12.88,16.74,87.24,57.68,18.84,7.86,6.58,10.61,11.01,4.18,6.17,2.88,19.15,2.56,1.18,2.24,2.35,1.51,4.08,2.11,1.91,0.19,0.44,0.2,14.49,0.11,0.1,0.77,2.11,14.15,4.07,2.67,1.38,2.27,1.39,4.24,2.23,0.69,1.09,0.33,3.63,0.57,2.03,0.06,1.43,6.1,1.85,0.94,1.72,0.97,1.05,5.06,12.53,1.01,9.09,1.55,4.41,3.22,2.61,0.49,0.12,0.64,0.01,0.42,0.46,0.02,0.03,0.22,0.2,0
koballa2_1_c_p.txt,1,8462,35.37,80.94,15.28,41.81,12.92,16.84,86.72,55.78,19.82,9.13,5.91,10.07,9.94,4.42,5.7,2.3,18.14,2.39,1.52,2.32,2.68,2.3,2.3,1.58,0.7,0.14,0.13,0.15,12.83,0.08,0.08,1.31,1.94,14.15,3.72,3.1,1,2.77,1.37,3.81,3,1.08,1.44,0.2,5.67,0.85,3.81,0,1.58,4.54,1.22,0.89,1.76,0.58,0.45,5.21,11.51,0.78,9.03,1.68,4.48,2.65,1.49,0.27,0.08,0.21,0,0.07,1.16,0.04,0.34,0.48,0.3,0
schlenther1_1_c_p.txt,1,16238,43.03,91.48,16.83,37.2,11.14,15.49,87.95,57.59,19.64,8.1,6.4,11.97,9.87,4.9,5.68,1.69,19.41,2.65,1.6,1.99,2.7,1.88,2.97,1.78,1.13,0.12,0.1,0.35,14.9,0.29,0.16,2.24,1.71,11.51,3.33,1.61,1.58,2.16,1.39,2.83,2.53,1.11,1.05,0.33,3.65,0.49,2.45,0.02,1.01,6.13,1.95,0.84,2.14,1.05,0.53,6.42,10.22,1.19,12.65,2,6.31,4.62,2.59,0.44,0.14,0.57,0.02,0.32,0.87,0,0.16,0.43,0.27,0
crawford1_1_c_d.txt,1,17447,24.75,85.96,4.86,24.14,13.89,16.79,88.35,58.36,19.96,8.04,5.67,9.59,10.63,5.5,6.2,3.48,19.95,2.38,1.44,2.1,2.52,1.64,2.57,1.22,1.32,0.23,0.23,0.13,16.72,0.39,0.07,0.43,6.71,14.45,4.02,2.65,1.45,2.16,1.66,4.3,2.97,1.09,1.83,0.03,4.91,0.25,3.14,0,2.07,5.73,1.18,0.93,2.1,0.69,1,8.29,9.92,0.82,9.63,1.39,3.81,4.52,2.23,0.58,0.15,0.41,0.02,0.05,0.48,0.01,0.1,0.11,0.25,0.01
martin1_1_c_p.txt,1,13408,54.48,83.07,20.02,31.63,14.95,17.09,87.81,55.74,16.82,7.73,6.53,12.78,10.12,4.14,5.47,2.13,17.74,3.35,1.98,2.1,2.27,2.64,3.01,1.65,1.31,0.19,0.14,0.32,12.44,0.37,0.02,0.28,2.08,13.48,3.39,1.9,1.8,2.96,1.75,3.59,2.28,0.95,0.9,0.37,4.4,0.46,2.96,0.01,1.67,6.72,1.9,1.39,2.24,1.04,0.72,5.82,9.84,0.87,11.73,1.43,5.95,4.57,3.1,0.43,0.19,0.54,0.01,0.31,0.63,0,0.33,0.14,0.14,0.01
mccabe1_1_c_d.txt,1,23107,36.38,81.76,6.2,21.96,12.79,16.57,87.89,56.96,18,7.83,6.57,10.23,10.01,5.32,6.2,3.09,18.46,2.54,1.51,2.08,3.28,1.92,2.61,1.14,1.39,0.25,0.28,0.15,14.66,0.68,0.07,4.64,1.16,13.91,3.52,2.21,1.61,2.73,1.58,4.12,2.25,0.73,1.43,0.05,4.66,0.52,2.64,0,1.89,6.31,1.55,1.64,1.79,0.74,0.87,6.85,9.39,0.7,9.91,1.19,4.41,4.47,2.52,0.48,0.13,0.39,0.03,0.18,0.51,0,0.1,0.19,0.19,0.01
haliburton1_0_c_d.txt,1,19092,46.82,81.05,10.35,22.68,15.5,21.01,85.64,55.43,16.52,7.68,5.95,12.14,9.79,4.55,7.16,2.13,17.2,2.27,1.29,1.72,2.37,1.59,3.07,1.42,1.62,0.14,0.21,0.17,12.6,0.5,0.16,0.57,3.79,14.13,4.08,2.07,1.38,3.31,1.33,3.84,1.79,0.46,1.12,0.16,5.49,0.43,2.84,0.01,2.82,5.44,1.15,1.55,1.31,0.61,1.16,6.26,8.73,0.97,9.54,1.55,4.38,3.67,1.94,0.33,0.1,0.31,0.01,0.28,0.56,0,0.06,0.3,0.16,0.03
campbell3_0_c_p.txt,1,19118,44.66,87.63,13.36,37.14,12.59,15.68,87.99,57.51,18.73,7.67,6.5,12.23,10.06,5.08,5.77,1.92,19.65,2.81,1.54,1.68,2.99,2.12,3.23,1.91,1.27,0.16,0.11,0.27,14.29,0.25,0.1,2.68,1.73,11.97,3.46,1.67,1.69,2.36,1.43,3.04,2.53,1.11,0.99,0.39,3.79,0.44,2.36,0.01,1.51,6.2,1.71,1.16,2.17,0.93,0.69,6.27,10.94,1.3,11.88,2.01,5.77,4.4,2.51,0.39,0.1,0.39,0.09,0.3,0.51,0.01,0.03,0.21,0.26,0
smith4_0_c_p.txt,1,12338,43.04,90.28,9.45,26.17,12.6,15.93,86.79,56.58,17.9,7.37,6.61,11.71,9.75,5.23,6.91,1.95,18.32,2.47,1.4,2.06,2.8,1.61,3.46,1.72,1.69,0.13,0.23,0.41,14.53,0.58,0.11,0.6,2.8,11.42,2.8,2.13,1.69,2.08,1.3,2.89,2.55,0.82,1.26,0.43,4.6,0.66,2.7,0.06,1.88,6.27,2,1.17,1.84,1,0.67,5.82,9.99,1.19,11.15,2.03,5.46,3.89,2.21,0.75,0.49,0.74,0.15,0.39,0.61,0.02,0.2,0.22,0.17,0
goveia1_1_c_p.txt,1,17532,45.74,76,26.59,37.16,12.02,16.87,89.61,58.49,17.24,8.74,7,12.27,10.63,4.57,6.86,2.42,18.91,3.31,1.95,1.98,1.6,2.16,3.68,2.15,1.51,0.35,0.2,0.22,11.69,0.27,0.14,1.39,0.5,13.95,3.49,2.61,1.6,2.28,1.6,4.05,2.54,1.06,1.03,0.23,3.58,0.38,2.06,0.01,1.63,7.16,1.96,1.31,2.22,1.19,0.88,5.18,11.36,1.16,11.54,1.84,6.18,3.6,2.01,0.41,0.19,0.71,0.07,0.3,0.63,0.05,0.11,0.31,0.17,0.01
